REGION,EMISSION,YEAR,VALUE
REGION1,BEHO,2027,1.6244784
REGION1,BEHO,2028,1.7668296
REGION1,BEHO,2029,1.9091808
REGION1,BEHO,2030,2.051532
REGION1,BEHO,2031,2.0599056
REGION1,BEHO,2032,2.0682792
REGION1,BEHO,2033,2.0766528
REGION1,BEHO,2034,2.0850264
REGION1,BEHO,2035,2.0934
REGION1,BEHO,2036,2.1017736
REGION1,BEHO,2037,2.1101472
REGION1,BEHO,2038,2.1185208
REGION1,BEHO,2039,2.1268944
REGION1,BEHO,2040,2.135268
REGION1,BEHO,2041,2.1436416
REGION1,BEHO,2042,2.1520152
REGION1,BEHO,2043,2.1603888
REGION1,BEHO,2044,2.1687624
REGION1,BEHO,2045,2.177136
REGION1,BEHO,2046,2.1938832
REGION1,BEHO,2047,2.2106304
REGION1,BEHO,2048,2.2273776
REGION1,BEHO,2049,2.2441
REGION1,BEHO,2050,2.260872
REGION1,BEHO,2051,2.27217636
REGION1,BEHO,2052,2.283537242
REGION1,BEHO,2053,2.294954928
REGION1,BEHO,2054,2.306429703
REGION1,BEHO,2055,2.317961851
REGION1,BEHO,2056,2.32955166
REGION1,BEHO,2057,2.341199419
REGION1,BEHO,2058,2.352905416
REGION1,BEHO,2059,2.364669943
REGION1,BEHO,2060,2.376493293
REGION1,BEWI,2015,18.045108
REGION1,BEWI,2016,23.0776416
REGION1,BEWI,2017,28.1101752
REGION1,BEWI,2018,33.1427088
REGION1,BEWI,2019,38.1752424
REGION1,BEWI,2020,43.207776
REGION1,BEWI,2021,46.3227552
REGION1,BEWI,2022,49.4377344
REGION1,BEWI,2023,52.5527136
REGION1,BEWI,2024,55.6676928
REGION1,BEWI,2025,58.782672
REGION1,BEWI,2026,60.9011928
REGION1,BEWI,2027,63.0197136
REGION1,BEWI,2028,65.1382344
REGION1,BEWI,2029,67.2567552
REGION1,BEWI,2030,69.375276
REGION1,BEWI,2031,69.9949224
REGION1,BEWI,2032,70.6145688
REGION1,BEWI,2033,71.2342152
REGION1,BEWI,2034,71.8538616
REGION1,BEWI,2035,72.473508
REGION1,BEWI,2036,74.0812392
REGION1,BEWI,2037,75.6889704
REGION1,BEWI,2038,77.2967016
REGION1,BEWI,2039,78.9044328
REGION1,BEWI,2040,80.512164
REGION1,BEWI,2041,81.810072
REGION1,BEWI,2042,83.10798
REGION1,BEWI,2043,84.405888
REGION1,BEWI,2044,85.703796
REGION1,BEWI,2045,87.001704
REGION1,BEWI,2046,89.4049272
REGION1,BEWI,2047,91.8081504
REGION1,BEWI,2048,94.2113736
REGION1,BEWI,2049,96.6146
REGION1,BEWI,2050,99.01782
REGION1,BEWI,2051,100.9981764
REGION1,BEWI,2052,103.0181399
REGION1,BEWI,2053,105.0785027
REGION1,BEWI,2054,107.1800728
REGION1,BEWI,2055,109.3236742
REGION1,BEWI,2056,111.5101477
REGION1,BEWI,2057,113.7403507
REGION1,BEWI,2058,116.0151577
REGION1,BEWI,2059,118.3354608
REGION1,BEWI,2060,120.7021701
REGION1,BGHO,2015,14.611932
REGION1,BGHO,2016,14.8045248
REGION1,BGHO,2017,14.9971176
REGION1,BGHO,2018,15.1897104
REGION1,BGHO,2019,15.3823032
REGION1,BGHO,2020,15.574896
REGION1,BGHO,2021,15.5079072
REGION1,BGHO,2022,15.4409184
REGION1,BGHO,2023,15.3739296
REGION1,BGHO,2024,15.3069408
REGION1,BGHO,2025,15.239952
REGION1,BGHO,2026,15.2315784
REGION1,BGHO,2027,15.2232048
REGION1,BGHO,2028,15.2148312
REGION1,BGHO,2029,15.2064576
REGION1,BGHO,2030,15.198084
REGION1,BGHO,2031,15.198084
REGION1,BGHO,2032,15.198084
REGION1,BGHO,2033,15.198084
REGION1,BGHO,2034,15.198084
REGION1,BGHO,2035,15.198084
REGION1,BGHO,2036,15.198084
REGION1,BGHO,2037,15.198084
REGION1,BGHO,2038,15.198084
REGION1,BGHO,2039,15.198084
REGION1,BGHO,2040,15.198084
REGION1,BGHO,2041,15.198084
REGION1,BGHO,2042,15.198084
REGION1,BGHO,2043,15.198084
REGION1,BGHO,2044,15.198084
REGION1,BGHO,2045,15.198084
REGION1,BGHO,2046,15.2064576
REGION1,BGHO,2047,15.2148312
REGION1,BGHO,2048,15.2232048
REGION1,BGHO,2049,15.2316
REGION1,BGHO,2050,15.239952
REGION1,BGHO,2051,15.239952
REGION1,BGHO,2052,15.239952
REGION1,BGHO,2053,15.239952
REGION1,BGHO,2054,15.239952
REGION1,BGHO,2055,15.239952
REGION1,BGHO,2056,15.239952
REGION1,BGHO,2057,15.239952
REGION1,BGHO,2058,15.239952
REGION1,BGHO,2059,15.239952
REGION1,BGHO,2060,15.239952
REGION1,BGSO,2015,4.940424
REGION1,BGSO,2016,5.1246432
REGION1,BGSO,2017,5.3088624
REGION1,BGSO,2018,5.4930816
REGION1,BGSO,2019,5.6773008
REGION1,BGSO,2020,5.86152
REGION1,BGSO,2021,6.69888
REGION1,BGSO,2022,7.53624
REGION1,BGSO,2023,8.3736
REGION1,BGSO,2024,9.21096
REGION1,BGSO,2025,10.04832
REGION1,BGSO,2026,11.5639416
REGION1,BGSO,2027,13.0795632
REGION1,BGSO,2028,14.5951848
REGION1,BGSO,2029,16.1108064
REGION1,BGSO,2030,17.626428
REGION1,BGSO,2031,18.1623384
REGION1,BGSO,2032,18.6982488
REGION1,BGSO,2033,19.2341592
REGION1,BGSO,2034,19.7700696
REGION1,BGSO,2035,20.30598
REGION1,BGSO,2036,21.35268
REGION1,BGSO,2037,22.39938
REGION1,BGSO,2038,23.44608
REGION1,BGSO,2039,24.49278
REGION1,BGSO,2040,25.53948
REGION1,BGSO,2041,25.8241824
REGION1,BGSO,2042,26.1088848
REGION1,BGSO,2043,26.3935872
REGION1,BGSO,2044,26.6782896
REGION1,BGSO,2045,26.962992
REGION1,BGSO,2046,27.758484
REGION1,BGSO,2047,28.553976
REGION1,BGSO,2048,29.349468
REGION1,BGSO,2049,30.145
REGION1,BGSO,2050,30.940452
REGION1,BGSO,2051,31.09515426
REGION1,BGSO,2052,31.25063003
REGION1,BGSO,2053,31.40688318
REGION1,BGSO,2054,31.5639176
REGION1,BGSO,2055,31.72173719
REGION1,BGSO,2056,31.88034587
REGION1,BGSO,2057,32.0397476
REGION1,BGSO,2058,32.19994634
REGION1,BGSO,2059,32.36094607
REGION1,BGSO,2060,32.5227508
REGION1,BGWI,2015,4.103064
REGION1,BGWI,2016,4.1365584
REGION1,BGWI,2017,4.1700528
REGION1,BGWI,2018,4.2035472
REGION1,BGWI,2019,4.2370416
REGION1,BGWI,2020,4.270536
REGION1,BGWI,2021,7.0505712
REGION1,BGWI,2022,9.8306064
REGION1,BGWI,2023,12.6106416
REGION1,BGWI,2024,15.3906768
REGION1,BGWI,2025,18.170712
REGION1,BGWI,2026,18.5642712
REGION1,BGWI,2027,18.9578304
REGION1,BGWI,2028,19.3513896
REGION1,BGWI,2029,19.7449488
REGION1,BGWI,2030,20.138508
REGION1,BGWI,2031,20.1887496
REGION1,BGWI,2032,20.2389912
REGION1,BGWI,2033,20.2892328
REGION1,BGWI,2034,20.3394744
REGION1,BGWI,2035,20.389716
REGION1,BGWI,2036,20.5739352
REGION1,BGWI,2037,20.7581544
REGION1,BGWI,2038,20.9423736
REGION1,BGWI,2039,21.1265928
REGION1,BGWI,2040,21.310812
REGION1,BGWI,2041,22.3072704
REGION1,BGWI,2042,23.3037288
REGION1,BGWI,2043,24.3001872
REGION1,BGWI,2044,25.2966456
REGION1,BGWI,2045,26.293104
REGION1,BGWI,2046,26.4522024
REGION1,BGWI,2047,26.6113008
REGION1,BGWI,2048,26.7703992
REGION1,BGWI,2049,26.9295
REGION1,BGWI,2050,27.088596
REGION1,BGWI,2051,27.22403898
REGION1,BGWI,2052,27.36015917
REGION1,BGWI,2053,27.49695997
REGION1,BGWI,2054,27.63444477
REGION1,BGWI,2055,27.77261699
REGION1,BGWI,2056,27.91148008
REGION1,BGWI,2057,28.05103748
REGION1,BGWI,2058,28.19129267
REGION1,BGWI,2059,28.33224913
REGION1,BGWI,2060,28.47391038
REGION1,CHHY,2015,133.2
REGION1,CHHY,2016,133.56
REGION1,CHHY,2017,133.92
REGION1,CHHY,2018,134.28
REGION1,CHHY,2019,134.64
REGION1,CHHY,2020,135.0
REGION1,CHHY,2021,135.54
REGION1,CHHY,2022,136.08
REGION1,CHHY,2023,136.62
REGION1,CHHY,2024,137.16
REGION1,CHHY,2025,137.7
REGION1,CHHY,2026,138.24
REGION1,CHHY,2027,138.78
REGION1,CHHY,2028,139.32
REGION1,CHHY,2029,139.86
REGION1,CHHY,2030,140.4
REGION1,CHHY,2031,140.94
REGION1,CHHY,2032,141.48
REGION1,CHHY,2033,142.02
REGION1,CHHY,2034,142.56
REGION1,CHHY,2035,143.1
REGION1,CHHY,2036,143.64
REGION1,CHHY,2037,144.18
REGION1,CHHY,2038,144.72
REGION1,CHHY,2039,145.26
REGION1,CHHY,2040,145.8
REGION1,CHHY,2041,146.52
REGION1,CHHY,2042,147.24
REGION1,CHHY,2043,147.96
REGION1,CHHY,2044,148.68
REGION1,CHHY,2045,149.4
REGION1,CHHY,2046,150.12
REGION1,CHHY,2047,150.84
REGION1,CHHY,2048,151.56
REGION1,CHHY,2049,152.28
REGION1,CHHY,2050,153.0
REGION1,CHHY,2051,153.0
REGION1,CHHY,2052,153.0
REGION1,CHHY,2053,153.0
REGION1,CHHY,2054,153.0
REGION1,CHHY,2055,153.0
REGION1,CHHY,2056,153.0
REGION1,CHHY,2057,153.0
REGION1,CHHY,2058,153.0
REGION1,CHHY,2059,153.0
REGION1,CHHY,2060,153.0
REGION1,CHSO,2015,3.96
REGION1,CHSO,2016,5.697
REGION1,CHSO,2017,7.434
REGION1,CHSO,2018,9.171
REGION1,CHSO,2019,10.908
REGION1,CHSO,2020,12.645
REGION1,CHSO,2021,14.382
REGION1,CHSO,2022,16.119
REGION1,CHSO,2023,17.856
REGION1,CHSO,2024,19.593
REGION1,CHSO,2025,21.33
REGION1,CHSO,2026,23.067
REGION1,CHSO,2027,24.804
REGION1,CHSO,2028,26.541
REGION1,CHSO,2029,28.278
REGION1,CHSO,2030,30.015
REGION1,CHSO,2031,31.752
REGION1,CHSO,2032,33.489
REGION1,CHSO,2033,35.226
REGION1,CHSO,2034,36.963
REGION1,CHSO,2035,38.7
REGION1,CHSO,2036,39.72
REGION1,CHSO,2037,40.74
REGION1,CHSO,2038,41.76
REGION1,CHSO,2039,42.78
REGION1,CHSO,2040,43.8
REGION1,CHSO,2041,44.82
REGION1,CHSO,2042,45.84
REGION1,CHSO,2043,46.86
REGION1,CHSO,2044,47.88
REGION1,CHSO,2045,48.9
REGION1,CHSO,2046,49.92
REGION1,CHSO,2047,50.94
REGION1,CHSO,2048,51.96
REGION1,CHSO,2049,52.98
REGION1,CHSO,2050,54.0
REGION1,CHSO,2051,54.81
REGION1,CHSO,2052,55.63215
REGION1,CHSO,2053,56.46663225
REGION1,CHSO,2054,57.31363173
REGION1,CHSO,2055,58.17333621
REGION1,CHSO,2056,59.04593625
REGION1,CHSO,2057,59.9316253
REGION1,CHSO,2058,60.83059968
REGION1,CHSO,2059,61.74305867
REGION1,CHSO,2060,62.66920455
REGION1,CHWI,2015,0.4086
REGION1,CHWI,2016,0.4428
REGION1,CHWI,2017,0.477
REGION1,CHWI,2018,0.717428571
REGION1,CHWI,2019,0.837642857
REGION1,CHWI,2020,0.957857143
REGION1,CHWI,2021,1.078071429
REGION1,CHWI,2022,1.198285714
REGION1,CHWI,2023,1.3185
REGION1,CHWI,2024,1.438714286
REGION1,CHWI,2025,1.558928571
REGION1,CHWI,2026,1.679142857
REGION1,CHWI,2027,1.799357143
REGION1,CHWI,2028,1.919571429
REGION1,CHWI,2029,2.039785714
REGION1,CHWI,2030,2.16
REGION1,CHWI,2031,2.268
REGION1,CHWI,2032,2.3814
REGION1,CHWI,2033,2.50047
REGION1,CHWI,2034,2.6254935
REGION1,CHWI,2035,2.756768175
REGION1,CHWI,2036,2.880822743
REGION1,CHWI,2037,3.010459766
REGION1,CHWI,2038,3.145930456
REGION1,CHWI,2039,3.287497326
REGION1,CHWI,2040,3.435434706
REGION1,CHWI,2041,3.572852094
REGION1,CHWI,2042,3.715766178
REGION1,CHWI,2043,3.864396825
REGION1,CHWI,2044,4.018972698
REGION1,CHWI,2045,4.179731606
REGION1,CHWI,2046,4.326022212
REGION1,CHWI,2047,4.47743299
REGION1,CHWI,2048,4.634143144
REGION1,CHWI,2049,4.796338154
REGION1,CHWI,2050,4.96420999
REGION1,CHWI,2051,5.06349419
REGION1,CHWI,2052,5.164764073
REGION1,CHWI,2053,5.268059355
REGION1,CHWI,2054,5.373420542
REGION1,CHWI,2055,5.480888953
REGION1,CHWI,2056,5.590506732
REGION1,CHWI,2057,5.702316866
REGION1,CHWI,2058,5.816363204
REGION1,CHWI,2059,5.932690468
REGION1,CHWI,2060,6.051344277
REGION1,CO2,2015,873998.4615
REGION1,CO2,2016,848768.3372
REGION1,CO2,2017,823955.4156
REGION1,CO2,2018,799553.8755
REGION1,CO2,2019,775557.9707
REGION1,CO2,2020,751962.0286
REGION1,CO2,2021,724614.6444
REGION1,CO2,2022,697739.0116
REGION1,CO2,2023,671328.4301
REGION1,CO2,2024,645376.2863
REGION1,CO2,2025,619876.0525
REGION1,CO2,2026,594821.2857
REGION1,CO2,2027,570205.6267
REGION1,CO2,2028,546022.7987
REGION1,CO2,2029,522266.6068
REGION1,CO2,2030,498930.9364
REGION1,CO2,2031,476009.7527
